district_name,city,year_started,month_started,one_to_one,grade_levels,device_type,notes,source_url,source_2,enrollment_count,enrollment_size,locale_type,google_search,google_sources
Clark-Pleasant Community School Corporation,Whiteland,2020 (by),April,Yes,PreK-12 (take-home 6-12),Chromebook,"upper bound; FB chromebook CSS-decoded oldest 2020-04-08 (Chromebook repair Mondays at Admin office through May 15 - existing 1:1); rollout earlier",https://docs.google.com/document/d/e/2PACX-1vSNXT84LsuD4gvTn0tTQ0wm0NsX9JfR5Y1q0sfI90qq8Ay2JLnd0_pBN8uatxw9cQP2As-o9Rcvc2tJ/pub,https://www.facebook.com/profile/100063911443334/search/?q=chromebook,7179,Large,Suburban,,
Clay Community Schools,Brazil,2014,,Yes,K-12,Chromebook,"district stated 2023-24 was 10th year of 1:1 Device Program; Chromebook for all K-12; 2018 board meeting addressed Chromebook fee dispute",https://in02200674.schoolwires.net/cms/lib/IN02200674/Centricity/Domain/22/2022%202023%20CORP%20SECONDARY%20STUDENT%20HANDBOOK.pdf,https://www.thebraziltimes.com/story/2575575.html,3995,Medium,Rural,,
Clinton Central School Corporation,Michigantown,,,,,,no public evidence of 1:1 device program found via WebSearch or district website,,,902,Small,Rural,1,Google searches and clintoncentral.org returned no 1:1 evidence
Clinton Prairie School Corporation,Frankfort,,,Yes (HS),HS,,Clinton Prairie HS has 1:1 Learning Initiative (per search summary); device type and year not confirmed,https://hs.clintonprairie.com/,,1153,Medium,Rural,,
Cloverdale Community Schools,Cloverdale,2020,August,Yes,Middle School (initially),Chromebook,"FB posts Aug 3-6 2020 announce CMS chromebook distribution Aug. 5-6; COVID-era rollout; partnered with One2Onerisk for insurance",https://www.facebook.com/profile/100057204199555/search/?q=chromebook,,3029,Medium,Rural,,
Community Schools of Frankfort,Frankfort,,,,,,FB chromebook search 1 hit (date undecodable); device search hits are 'digital detox' anti-screen msgs (false positives); no rollout evidence found,https://www.frankfortschools.org/,https://www.facebook.com/csfhotdogs/,2972,Medium,Rural,,
Concord Community Schools,Elkhart,2019 (by),,Yes,District-wide (5500 students),Chromebook,Chromebook handbook PDF dated August 2019 (Wayback); adopted Google Workspace first,https://edu.google.com/intl/ALL_us/resources/customer-stories/concord-community-schools/,,5212,Large,Suburban,,
Covington Community School Corporation,Covington,,,Yes,Not specified,,district described as a '1:1 School Corporation' per search summary; device type and year not confirmed,https://www.covington.k12.in.us/,,903,Small,Rural,,
Cowan Community School Corporation,Muncie,,,,,,no public evidence of 1:1 program found,,,727,Small,Rural,1,Google search confirmed Director of Technology role but no public 1:1 device program details
Crawford County Community School Corporation,Marengo,2020 (by),May,Yes (HS),HS confirmed,Chromebook,"upper bound; CCHS FB post 2020-05-04 references Class of 2020 Chromebook return; rollout earlier than 2019-20",https://www.facebook.com/profile/100057492136101/search/?q=chromebook,,1235,Medium,Rural,,
Crawfordsville Community Schools,Crawfordsville,2022 (by),May,Yes,High school (CHS),Chromebook,"FB chromebook search oldest 2024-03-15; chromebooks plural search shows 2022-05-02 'Hoover Little Buddies' post (mentions chromebooks); 1:1 Chromebook at CHS per district resources",https://www.cville.k12.in.us/about-us/technology/chromebook-resources,https://www.facebook.com/profile/100063626438148/search/?q=chromebooks,2730,Medium,Rural,,
Crothersville Community Schools,Crothersville,,,,,,FB elementary page has no chromebook/device posts; HS only has athletic FB page; no public 1:1 rollout evidence found,,,451,Small,Rural,1,Google search and crothersville.k12.in.us returned no 1:1 evidence
Crown Point Community School Corporation,Crown Point,2020 (by),,Yes,K-12,Chromebook,First Chromebook image on website May 2020 (Wayback); likely COVID-era launch,https://www.cps.k12.in.us/district-departments/technology,,9147,Large,Suburban,,
Culver Community School Corporation,Culver,,,,,,,,,777,Small,Rural,1,Google search returned no 1:1 evidence; culver.k12.in.us has no public device program info
Daleville Community Schools,Daleville,2023 (by),,Yes (likely),,Chromebook,upper bound; district eliminated Chromebook fees per HB-1001 for 2023-24 (Herald Bulletin); standardized on Chromebooks per district tech page; rollout likely earlier,https://www.daleville.k12.in.us/page/google-chromebooks,https://www.heraldbulletin.com/news/local_news/new-law-means-daleville-school-parents-wont-pay-for-textbooks/article_2d58ba8c-2aff-11ee-ace2-97e6bef230cf.html,988,Small,Suburban,1,https://www.daleville.k12.in.us/page/google-chromebooks; https://www.heraldbulletin.com/news/local_news/new-law-means-daleville-school-parents-wont-pay-for-textbooks/article_2d58ba8c-2aff-11ee-ace2-97e6bef230cf.html
Danville Community School Corporation,Danville,,,,,,FB chromebook search returned 1 unrelated post (art class); device search shows posts back to 2013 but content unrelated to device rollouts; no clear public 1:1 evidence found,https://www.facebook.com/DCSCWarriors/,,2795,Medium,Rural,,
Decatur County Community Schools,Greensburg,,,Yes,K-12,Mixed (Chromebooks for JH/HS; iPads for elementary),South Decatur grades 4-6 also have Chromebooks,https://www.decaturco.k12.in.us/Technology,,1764,Medium,Rural,1,Google search confirms touchscreen Chromebooks JH/HS take-home + iPads elementary; year not in public sources
DeKalb County Central United School District,Waterloo,2020 (by),August,Yes,K-12 (HS confirmed),Chromebook,FB device-search CSS-decoded oldest 2020-08-20; 2022-07-26 references Chromebook repair log; chromebook search shows only 2025 posts but device search finds earlier,https://www.facebook.com/profile/100064157075168/search/?q=device,https://www.facebook.com/profile/100064157075168/search/?q=chromebook,3537,Medium,Rural,,
DeKalb County Eastern Community School District,Butler,,,,,,,,,1241,Medium,Rural,,
Delaware Community School Corporation,Muncie,,,Yes (likely),,,Superintendent referenced 1:1 Technology in district communications per Google search; no specific year/device confirmed,https://www.delcomschools.org/,,2581,Medium,Rural,1,Google search snippet mentions superintendent discussing 1:1 Technology but no rollout year/device specified
Delphi Community School Corporation,Delphi,,,,,,,,,1311,Medium,Rural,1,Google search returned no public 1:1 evidence for delphi.k12.in.us
Dugger Union School Corporation,Dugger,2020,August,Yes,K-12,Mixed (iPad K-2; iPad+keyboard 3-9; MacBook 10-12),2020-21 SY rollout; CARES Act-funded,https://duggerunionschools.org/virtual-learning/1-to-1/,,7821,Large,Rural,1,https://duggerunionschools.org/virtual-learning/1-to-1/
Duneland School Corporation,Chesterton,2016,September,Yes,District-wide (~5000 students),Chromebook (HP Chromebook 11),Based on case purchase date,https://www.gumdropcases.com/blogs/duneland-school-corporation-picks-hp-chromebook-11-cases-from-gumdrop-cases/,,5732,Large,Suburban,,
East Allen County Schools,New Haven,2016,July,Yes,Not specified,Mixed (Chromebook and iPad),"upper bound; FB ipad search CSS-decoded oldest 2016-07-29; district has Parent & Student iPad Information page; provides both Chromebooks and iPads",https://www.eacs.k12.in.us/departments/technology,https://www.facebook.com/profile/100063595059442/search/?q=ipad,10136,Large,Suburban,,
East Gibson School Corporation,Oakland City,,,,,,,,,682,Small,Rural,1,Google search returned no public 1:1 device program details for egsc.k12.in.us
East Noble School Corporation,Kendallville,,,Yes,K-12,,"district makes 1:1 tech accessible for every student per district eLearning info; K-4 use Seesaw, 5-12 use Canvas; device type and year not confirmed",https://www.eastnoble.net/page/technology-support,http://www.eastnoble.net/families/e_learning_information,3345,Medium,Rural,1,Google search returned only general district info; no rollout year identified
East Porter County School Corporation,Valparaiso,,,Yes,Not specified,Chromebook,1:1 program active; start year unknown,https://www.eastporter.k12.in.us/page/technology,,2275,Medium,Rural,1,Google search returned no specific year info beyond existing district tech page
East Washington School Corporation,Pekin,,,,,,,,,1316,Medium,Rural,1,Google search returned no public 1:1 device program details for ewsc.k12.in.us
Eastbrook Community School Corporation,Marion,,,,,,,,,1579,Medium,Rural,1,Google search returned no public 1:1 device program details for eastbrook.k12.in.us
Eastern Greene Schools,Bloomfield,,,,,,classrooms have SmartBoards/desktop computers/tablets/iPods; no 1:1 take-home program details found via Google,https://www.egreene.k12.in.us/,,1111,Medium,Rural,1,Google search snippet describes classroom tech but no 1:1 1-to-1 device program identified
Eastern Hancock County Community School Corporation,Charlottesville,,,,,,district emphasizes design/code/tech use; state-of-art Makerspace; no specific 1:1 program details found via Google,https://www.easternhancock.org/,,1219,Medium,Rural,1,Google search returned no public 1:1 device rollout details
Eastern Howard School Corporation,Greentown,,,Yes,Not specified,iPad (not Chromebook),district homepage links to active 1:1 iPad Initiative; year not in public sources,https://www.eastern.k12.in.us/,,1603,Medium,Rural,1,https://www.eastern.k12.in.us/ confirms 1:1 iPad Initiative
Eastern Pulaski Community School Corporation,Winamac,,,Yes (likely),Not specified,Chromebook,May 2024 board approved $470K Chromebook fleet replacement (4-yr cycle) for all students+staff per WKVI; rollout pre-2024,https://wkvi.com/2024/05/eastern-pulaski-school-board-approves-chromebook-agreement/,,1057,Medium,Rural,1,https://wkvi.com/2024/05/eastern-pulaski-school-board-approves-chromebook-agreement/
Edinburgh Community School Corporation,Edinburgh,,,,,,,,,793,Small,Suburban,1,Google search returned no public 1:1 device program details for ecsc.k12.in.us
Elkhart Community Schools,Elkhart,2020,March,Yes,Middle and high school,Mixed (Chromebook and iPad),"upper bound; FB user posts 2020-03-19 reference 'got y'all chromebook and ipad' COVID-era distribution; Pilot with 85 Chromebook carts predates this; full 1:1 by COVID",https://sites.google.com/elkhart.k12.in.us/info/instructional-technology/curriculum-building,https://www.facebook.com/profile/100064746904577/search/?q=chromebook,10714,Large,Urban,,
Elwood Community School Corporation,Elwood,,,Yes,Grades 1-8,,"per Google search: grades 1-2 in-house cart 1:1; grades 3-8 take-home 1:1; also iPads / Windows / Android tablets used; year not in public sources",https://www.elwood.k12.in.us/departments/technology/,,1462,Medium,Rural,1,https://www.elwood.k12.in.us/departments/technology/
Eminence Community School Corporation,Eminence,2017,,Yes,Grades 6-12,Chromebook (Lenovo ThinkPad 11e),"per district Device Guidelines: beginning fall 2017, 6-12 students issued school-owned Lenovo ThinkPad 11e Chromebook with charger and case; $20 annual damage waiver",https://www.eminence.k12.in.us/device-guidelines-procedures/,,259,Small,Rural,1,https://www.eminence.k12.in.us/device-guidelines-procedures/
Evansville Vanderburgh School Corporation,Evansville,2013,,Yes,K-12,Mixed (Chromebooks grades 3-12; iPads K-2),1:1 for about a dozen years as of ~2025,https://www.evscschools.com/academics/academics/technology,,21589,Very Large,Urban,,
Fairfield Community Schools,Goshen,2021 (by),December,Yes (likely),Not specified,,FB device search 2021-12-04 'synchronous elearning day' post implies students have devices for remote learning; 2019 hit is unrelated superintendent search,https://www.facebook.com/profile/100052759366551/search/?q=device,,2209,Medium,Suburban,,
Fayette County School Corporation,Connersville,2019,,Yes,K-12,Chromebook,1:1 take-home for grades 8-12; classroom-based for K-7; 2019-2020 school year,https://www.fayette.k12.in.us/page/responsible-use-of-technology,,3103,Medium,Rural,,
Flat Rock-Hawcreek School Corporation,Hope,,,,,,,,,982,Small,Rural,,
Fort Wayne Community Schools,Fort Wayne,2020,,Yes,K-12,Mixed (laptops and iPads),Elementary 1:1 by ~2017; district-wide 1:1 achieved fall 2020; ~29500 students,https://www.wane.com/news/local-news/fwcs-buying-laptops-ipads/,,28549,Very Large,Urban,,
Franklin Community School Corporation,Franklin,2014,July,Yes,K-12 (HS first),Chromebook,"upper bound; oldest FB chromebook post 2014-07-16 (FCHS Chromebook students presenting Google Classroom at PD); 2019 post references FCHS in '5th year' of student help desk corroborating ~2014-15 start; virtual families provided Chromebook+charger+case",https://franklinschools.org/,https://www.facebook.com/profile/100063753352449/search/?q=chromebook,4966,Medium,Suburban,,
Franklin County Community School Corporation,Brookville,,,,,,,,,1944,Medium,Rural,,
Franklin Township Community School Corporation,Indianapolis,2020 (by),April,Yes,K-12,Chromebook (Dell Chromebook 3100),"upper bound; oldest FB chromebook post 2020-04-15 references Bunker Hill kindergarten Chromebook & screening; K-3 in-school use, grades 4-12 take-home rental devices",https://ftcsc.org/1to1/,https://www.facebook.com/profile/100063580061837/search/?q=chromebook,4966,Medium,Suburban,,
Frankton-Lapel Community Schools,Lapel,2016 (by),May,Yes,K-12 (likely),Chromebook,"upper bound; oldest FB chromebook post 2016-05-05 'FLCS Chromebook/Personal Belongings Exchange Information'; ECF & BYOC Chromebook program in 2022-23",https://www.facebook.com/profile/100040104081611/search/?q=chromebook,,3032,Medium,Rural,,
Fremont Community Schools,Fremont,,,,,,,,,979,Small,Rural,1,Google search returned no public 1:1 device program details for fremont.k12.in.us
Frontier School Corporation,Brookston,,,Yes,K-12 (carts K-5; take-home 6-12),Mixed (iPad K-2; Chromebook 3-12),"per district tech info: K-2 iPads; 3-5 Chromebook in carts; 6-12 Chromebook take-home; year not in public sources",https://frontierschoolsin.org/,,666,Small,Rural,1,https://frontierschoolsin.org/
Garrett-Keyser-Butler Community School District,Garrett,,,Yes,K-12 (iPad K-8; MacBook 9-12),Mixed (iPad K-8; MacBook 9-12; not Chromebook),per Google search snippet: K-8 iPads; 9-12 MacBooks for customized learning; year not in public sources,,,1644,Medium,Rural,1,Google search snippet identifies iPad K-8 + MacBook 9-12 Apple-only district
Gary Community School Corporation,Gary,2020,June,Yes,K-12,Chromebook,4700 Chromebooks purchased for $2.4M; included mobile hotspots; COVID-accelerated,https://www.nwitimes.com/news/gary-community-school-corp-to-accelerate-1-to-1-technology-rollout-amid-coronavirus-pandemic/article_a7a52a6f-c3b7-5ecb-902f-c376d60fd279.html,,4383,Medium,Suburban,,
Goshen Community Schools,Goshen,2018 (by),April,Partial,Grades 7-12,Chromebook,"upper bound; FB device-search CSS-decoded oldest 2018-04-19 across 17 dates; lower grades may use iPads",https://www.goshenschools.org/technology,https://www.facebook.com/profile/100063819271271/search/?q=device,6242,Large,Urban,,
Greater Clark County Schools,Jeffersonville,2015 (by),,Yes,Grades 3-12,Chromebook,1:1 active by June 2015 (collection notice for 2015-16 school year); exact launch year unknown,https://www.gccschools.com/home/students/chromebook-help/,,10645,Large,Suburban,,
Greater Jasper Consolidated Schools,Jasper,,,,,,FB has no chromebook posts; ipad and laptop posts exist but are unrelated to device rollouts; no 1:1 device evidence found,https://www.facebook.com/profile/100041394077869/search/?q=chromebook,,3383,Medium,Rural,1,Google search returned no public 1:1 device program details for gjcs.k12.in.us
Greencastle Community School Corporation,Greencastle,,,,,,district tech page references modern campuses with updated technology but no specific 1:1 device program details found,https://www.greencastle.k12.in.us/technology,,1818,Medium,Rural,1,Google search returned no public 1:1 device program details
Greenfield-Central Community Schools,Greenfield,2019 (by),December,Yes,Not specified,,"upper bound; FB device-search has 2019-06-03 post but that one is unrelated to school-issued devices (per Mike); 2019-12-16 post mentions devices provided by schools — that is the rollout-related upper bound",https://www.gcsc.k12.in.us/,https://www.facebook.com/profile/100057242931229/search/?q=device,4370,Medium,Suburban,1,Indiana Capital Chronicle 2023 references GCSC Chromebook costs (https://indianacapitalchronicle.com/2023/08/25/no-more-school-textbook-bills-for-indiana-parents-but-what-other-fees-can-still-be-charged/) — confirms Chromebook district
Greensburg Community Schools,Greensburg,,,Yes,K-12,Laptop,district tech page states all K-12 students have laptops for equitable access; Chromebooks used for virtual program; year not in public sources,https://www.greensburg.k12.in.us/about-us/technology,https://gchs.greensburg.k12.in.us/for_parents/technology_resources,2025,Medium,Rural,1,https://www.greensburg.k12.in.us/about-us/technology
Greenwood Community School Corporation,Greenwood,,,,,,Greenwood FB is an unmanaged community page without searchable post history; no public 1:1 evidence found,,,4023,Medium,Urban,,
Griffith Public Schools,Griffith,,,Yes,K-12,iPad (not Chromebook),district has 1:1 iPad program per district tech page; year not in public sources,https://www.griffithps.org/departments/technology/technology-department,,2015,Medium,Suburban,1,https://www.griffithps.org/departments/technology/technology-department
Hamilton Community Schools,Hamilton,,,,,,,,,375,Small,Rural,1,Google search returned no public 1:1 device program details
Hamilton Heights School Corporation,Arcadia,2016 (by),August,Yes,K-12,Mixed (iPad + MacBook),FB ipad CSS-decoded oldest 2016-08-01; 2019-02-13 'HHPS Students eProject Creates Interactive Message'; 2020-03-18 references HHHS Student MacBook help desk - district uses both,https://www.facebook.com/profile/100057178252923/search/?q=ipad,,2341,Medium,Rural,1,Google search returned no public 1:1 device program details for hamilton-heights.k12.in.us
Hamilton Southeastern Schools,Fishers,2015,August,Yes,K-12,iPad (not Chromebook),"upper bound; FB post 2015-08-04 'Need help setting up your iPad? Stop by the RJH Media Center tonight from 6-9' indicates iPad rollout Aug 2015; incoming K/5/9 receive iPad 10th gen",https://www.facebook.com/profile/100064700947365/search/?q=ipad,,21062,Very Large,Suburban,,
Hanover Community School Corporation,Cedar Lake,2017,,Yes,K-12,Chromebook,"Phased: HS 2017, MS 2018, elementary 2019",https://www.hanover.k12.in.us/departments-home/technology-department,,2831,Medium,Suburban,,
Huntington County Community School Corporation,Huntington,2012,,Yes,K-12 (MacBook MS/HS; iPad elementary),Mixed (MacBook secondary; iPad elementary; not Chromebook),"Google search snippet: 21st Century School Corporation since fall 2012 with 1:1 MacBook/iPad — pre-dates earlier FB iPad upper bound of 2018-08-01; Apple district",https://www.facebook.com/huntingtoncountycommunityschools/,https://www.facebook.com/profile/100064595116309/search/?q=ipad,4874,Medium,Rural,1,Google search summary identified fall 2012 21st Century 1:1 MacBook/iPad rollout
Indianapolis Public Schools,Indianapolis,2020,August,Yes,PreK-12,Mixed (iPads PreK-2; Chromebooks 3-12),"~$12M spent; ~20000 Chromebooks, ~12000 iPads, ~7000 hotspots; COVID-driven",https://www.wfyi.org/news/articles/ips-plans-12m-tech-buy-for-student-e-learning,,21055,Very Large,Urban,,
Jac-Cen-Del Community School Corporation,Osgood,,,,,,,,,781,Small,Rural,,
Jay School Corporation,Portland,2020 (by),April,Yes (likely),Not specified,Chromebook,"upper bound; oldest FB chromebook post 2020-04-17 references Google Suite/Chromebook tech issues during COVID elearning",https://www.facebook.com/profile/100057251126628/search/?q=chromebook,,2950,Medium,Rural,,
Jennings County Schools,North Vernon,2020 (by),June,Yes,K-12,Mixed (iPad K-2; Dell Chromebook 3100 grades 3-12),"upper bound; oldest JCHS FB chromebook post 2020-06-02 (COVID-era Class of 2020 commencement); per district tech info: iPads K-2; Dell Chromebook 3100 grades 3-12",https://www.jcsc.org/Technology,https://www.facebook.com/profile/100063676118289/search/?q=chromebook,3800,Medium,Rural,,
John Glenn School Corporation,Walkerton,2025 (by),April,Yes (likely),Grades 3-9 (confirmed),Chromebook,upper bound; April 2025 board approved purchase of elementary Chromebooks (3-6) + 475 secondary Chromebooks (7-9) from Secured Tech Solutions; rollout likely earlier,https://jgsc.k12.in.us/about/documents/john-glenn-sc-board-documents/school-board-minutes/2025/1556-april-8-2025-minutes/file,,1993,Medium,Rural,1,https://jgsc.k12.in.us/about/documents/john-glenn-sc-board-documents/school-board-minutes/2025/1556-april-8-2025-minutes/file
Kankakee Valley School Corporation,Wheatfield,2016,July,Yes,Grades 6-12,Chromebook,"upper bound; oldest FB chromebook post 2016-07-27 'Today is the last scheduled day for Chromebook distribution for grades 6-12... at KV High School'; clear back-to-school rollout",https://www.facebook.com/profile/100041637954889/search/?q=chromebook,,3093,Medium,Rural,,
Knox Community School Corporation,Knox,,,Yes,Grades 3-12,,district provides 1:1 technology grades 3-12 per district info; device type and year not confirmed,https://www.knox.k12.in.us/about_k_c_s_c/departments/technology,,1673,Medium,Rural,1,Google search returned no additional 1:1 details beyond existing district tech page
Kokomo-Center Township Consolidated School Corporation,Kokomo,2020 (by),April,Yes (likely),Not specified,,"upper bound; FB chromebook search no results; device search CSS-decoded oldest 2020-04-23 (COVID-era); year of original rollout unconfirmed",https://www.kokomoschools.com/,https://www.facebook.com/profile/100057189380621/search/?q=device,5197,Large,Urban,,
Lafayette School Corporation,Lafayette,2020 (by),June,Yes (secondary),Secondary student devices,Chromebook,"upper bound; FB device-search CSS-decoded oldest 2020-06-17; district tech page references Secondary Student Device Configuration Videos and Chromebook setup guides",https://www.lsc.k12.in.us/departments/technology,https://www.facebook.com/profile/100057038427148/search/?q=device,7090,Large,Urban,,
