"Huntington Co Com Sch Corp","IN","Huntington","2012","Fall","Yes","K-12 (MS/HS MacBook; ES iPad)","Mixed (MacBook/iPad)","21st Century School Corp since Fall 2012; MS/HS use MacBooks, all 5 ES use iPads; district-wide 1:1","https://en.wikipedia.org/wiki/Huntington_County_Community_School_Corporation","https://www.hccsc.k12.in.us/parents/technology_help/mac_book_help","1701","427","1","0","1804710"
"Enterprise Elementary","CA","Redding","2020","","Yes (likely)","K-8","Chromebook","District handed out Chromebooks and lunches during COVID March 2020; COVID-era 1:1 distribution; no pre-pandemic 1:1 program found","https://krcrtv.com/news/local/enterprise-elementary-school-district-hands-out-chromebooks-lunches-to-kids-out-of-school","","1712","425","1","0","0612810"
"Ypsilanti Community Schools","MI","Ypsilanti","2020 (by)","","Yes (likely)","K-12","Chromebook","2020-21 online learning program issued Chromebooks and iPads to students; no earlier 1:1 launch year found","https://www.ycschools.us/downloads/district_20-21/ycs_revised_online_learning_program.pdf?preview=1","","1713","424","1","0","2636630"
"Hudson School District","WI","Hudson","2020 (by)","","Yes","3-12","Chromebook","1:1 Chromebook program for grades 3-12 with Trafera partnership; 'for many years'; no specific start year pinned; COVID-era earliest dated evidence","https://www.trafera.com/blog/equity-access-fuss-free-chromebook-fixes/","https://www.hudsonraiders.org/","1714","423","1","0","5506690"
"Grants Pass SD 7","OR","Grants Pass","2020 (by)","","Yes (likely)","Not specified","Chromebook","District has tech integration program; no specific 1:1 launch date found; upper bound based on available evidence","https://www.grantspass.k12.or.us/departments/information-services","","1715","423","1","0","4105910"
"Scotch Plains-Fanwood School District","NJ","Scotch Plains","2020 (by)","","Yes (likely)","Not specified","Chromebook","District technology page shows Chromebook/device program; no specific launch year found in search results","https://www.spfk12.org/domain/61","","1716","423","1","0","3414670"
"Brighton Area Schools","MI","Brighton","2020 (by)","","Yes (likely)","Not specified","Chromebook","BAS selling used Chromebooks referenced 2020; district Chromebook program confirmed; no specific launch year found","https://www.newsbreak.com/michigan/brighton/news/1583817390600/bas-selling-used-chromebook-computers","https://www.brightonk12.com/","1717","423","1","0","2606870"
"Lake Zurich CUSD 95","IL","Lake Zurich","2014","Fall","Yes","6-12","iPad","Mobile Learning Initiative; every student grades 6-12 issued district iPad; iPad distribution page references 2014-15 SY; Apple Distinguished status","https://www.lz95.org/initiatives/ipad_distribution.aspx","https://www.lz95.org/departments/technology-services","1718","423","1","0","1721900"
"Oak Creek-Franklin Joint School District","WI","Oak Creek","2020 (by)","","Yes","K-12","Chromebook","K-12 1:1 program for 6500 students; Chromebook Repair Center services 6500+ Chromebooks; no specific launch year found; upper bound","https://www.ocfsd.org/district/technology","https://www.ocfsd.org/district/technology/chromebook-insurance","1719","422","1","0","5510830"
"Northampton Area SD","PA","Northampton","2020 (by)","","Yes (likely)","Not specified","Chromebook","Technology services page confirmed; no specific 1:1 launch year found in searches; upper bound","https://www.nasdschools.org/page/technology-services","","1720","422","1","0","4217370"
"Bartlesville","OK","Bartlesville","2017","Fall","Yes (phased)","9-12 (phased to 6-12)","Chromebook","August 2016 bond issue approved Student Computing Initiative; 2016-17 classroom Chromebook carts in HS English; fall 2017 freshmen received take-home Chromebooks; 2018-19 grades 9-12; 2019-20 grades 6-12","https://sites.google.com/a/bps-ok.org/website/home/patrons/studenttechnology/chromebooks","http://bartlesvilleradio.com/pages/news/150932017/bhs-freshmen-recieve-chromebooks","1721","422","1","0","4003630"
"Jackson Local","OH","Massillon","2020 (by)","","Yes (likely)","Not specified","Chromebook","District uses Chromebooks; top 5% Ohio schools; no specific 1:1 launch year found","https://www.jackson.stark.k12.oh.us/","","1722","422","1","0","3904985"
"Bloomfield Board Of Education","NJ","Bloomfield","2020 (by)","","Yes","6-12 (then expanding to ES)","Chromebook","All MS and HS students in 1:1 Chromebook initiative; expanding to elementary; Aug 2020 K distribution referenced; no earlier firm year found","https://www.bloomfield.k12.nj.us/m/pages/index.jsp?uREC_ID=365157&type=d","https://bfsd.ss19.sharpschool.com/departments/technology_services/1_1_chromebook_device_program","1723","422","1","0","3401830"
"Kearney Public Schools","NE","Kearney","2020","Fall","Yes","2-12","Chromebook","Beginning fall 2020 Kearney is 1:1 in grades 2-12; distributed 1400+ Chromebooks to KHS students; Google suite integration","https://businessviewmagazine.com/kearney-public-schools/","https://kearneyhub.com/news/local/skeptical-khs-students-are-becoming-fans-of-technology/article_f7fff31a-4321-5392-b48c-f7c586ed4ad4.html","1724","422","1","0","3172390"
"Moorhead Public School District","MN","Moorhead","2016 (by)","","Yes","K-12","Chromebook","ISD 152 is a 1:1 district K-12; pilot/feasibility study referenced in June 2015 board meeting; rollout circa 2015-16; K-8 stay at school, HS take home","https://www.moorheadschools.org/documents/download/?id=150409","https://www.isd152.org/page/technology","1725","422","1","0","2721420"
"Alexander County Schools","NC","Taylorsville","2020 (by)","","Yes","K-12","Chromebook","Student Chromebook handbook exists; 1:1 take-home program confirmed; no specific launch year found; upper bound","https://www.alexander.k12.nc.us/domain/1238","","1726","421","1","0","3700090"
"Santa Paula Elem","CA","Santa Paula","2020","Fall","Yes (likely)","K-12","Chromebook","Santa Paula Unified received 1000+ Chromebooks ($336K) fall 2020 via Bridging the Digital Divide Fund; accelerated pre-pandemic 1:1 efforts; COVID-driven district-wide rollout","https://edsource.org/2021/a-california-program-spent-millions-on-devices-for-distance-learning-heres-where-it-went/654590","","1727","420","1","0","0635730"
"Riverhead Central School District","NY","Riverhead","2020 (by)","","Yes","2-12 Chromebook; K-1 iPad","Mixed (Chromebook/iPad)","Chromebooks for grades 2-12; iPads for K-1; 1:1 device handbook; NPO donated 1000+ Chromebooks April 2020; no pre-2020 launch year found","https://riverheadlocal.com/2020/04/09/nonprofit-donates-over-1000-chromebooks-to-four-east-end-school-districts-including-riverhead/","https://www.riverhead.net/technology/","1728","419","1","0","3624690"
"Lindbergh Schools","MO","St. Louis","2020","Fall","Yes","3-12 (iPad elem/MS; Chromebook HS)","Mixed (iPad/Chromebook)","Board voted March 10 2020 to implement 1:1; HS teachers got devices summer 2020; HS students got Chromebooks fall 2020; MS iPads moved up from Jan to fall due to COVID; grades 3-12 blended learning model","https://callnewspapers.com/lindbergh-moves-to-11-technology-will-buy-elementary-ipads-and-high-school-laptops/","https://www.lindberghschools.ws/teaching-learning/blended-learning","1729","419","1","0","2918690"
"Decatur County","GA","Bainbridge","2020 (by)","","Yes (likely)","Not specified","Chromebook","Chromebooks returned to schools referenced April 2022; 1:1 program confirmed; no specific launch year found; upper bound","https://www.boe.dcboe.com/post-detail/~board/bainbridge-middle-school/post/chromebooks-chargers-due-to-schools","https://www.dcboe.com/","1730","419","1","0","1301710"
"Sayreville Public Schools","NJ","Sayreville","2020 (by)","","Yes","8-12","Chromebook","1:1 Chromebook program for grades 8-12; students responsible for district-issued device; no specific launch year found; upper bound","https://www.sayrevillek12.net/district/departments/technology","","1731","418","1","0","3414640"
"Cleveland","TN","Cleveland","2020 (by)","","Yes (likely)","Not specified","Chromebook","Cleveland City Schools technology resources page confirmed; no specific 1:1 launch year found; upper bound","https://www.clevelandschools.org/page/ccs-technology-resources","","1732","417","1","0","4700690"
"Armstrong SD","PA","Kittanning","2020 (by)","","Yes (likely)","Not specified","Chromebook","Chromebook Insurance program via Securranty referenced; district issues devices to students; no specific launch year found","https://www.asd.k12.pa.us/apps/pages/index.jsp?uREC_ID=417163&type=d&pREC_ID=2521594","","1733","417","1","0","4202590"
"Ozark R-VI","MO","Ozark","2020 (by)","","Yes (likely)","Not specified","Chromebook","District confirmed Chromebook use; no specific 1:1 launch year found; COVID-era upper bound","https://www.ozarktigers.org/","","1734","417","1","0","2923430"
"Ramona City Unified","CA","Ramona","2020","Fall","Yes","TK-12","Chromebook","District loaned Chromebooks to all TK-12 students for distance learning start of 2020-21 SY; optional $50 insurance; COVID-driven rollout","https://www.ramonausd.net/en/educational-technology-944bfa73/chromebook-distribution-program-e890c861","","1735","417","1","0","0631710"
"Greenville ISD","TX","Greenville","2020 (by)","","Yes (likely)","Not specified","Chromebook","District confirmed technology program; no specific 1:1 launch year found; upper bound","https://www.greenvilleisd.com/","","1736","416","1","0","4821720"
"Williamsport Area SD","PA","Williamsport","2020 (by)","","Yes","K-12","Chromebook","Log In Learn On 1:1 initiative; every student receives Chromebook; 2020-21 handbook v4 referenced; no earlier firm launch year found; upper bound","https://www.wasd.org/our-district/technology-department/log-in-learn-on-1-1-initiative","https://www.wasd.org/our-district/log-in-learn-on/log-in-learn-on","1737","416","1","0","4226460"
"Lakewood City","OH","Lakewood","2015","Fall","Yes (phased)","7-8 (initial); expanded to all grades","Chromebook","1:1 Chromebook rollout began Aug 31 2015 at both middle schools (1200 Chromebooks); $50 tech fee; later expanded to grades 1-12","http://lakewoodobserver.com/read/2015/09/01/district-offers-laptops-to-every-middle-schooler","http://www.lakewoodcityschools.org/News/24336","1738","416","1","0","3904419"
"Ocean Springs School Dist","MS","Ocean Springs","2021 (by)","","Yes","K-12","Chromebook","1:1 student-to-device ratio documented in July 2021 return-to-school plan; every student assigned Chromebook; no earlier documented launch year","https://www.ossdms.org/discoverossd/departments/communications/district-news/news-landing/~board/ossd-news/post/ossd-releases-return-to-school-plan-for-sy22","","1739","416","1","0","2803360"
"Solana Beach Elementary","CA","Solana Beach","2020 (by)","","Yes (likely)","Not specified","Chromebook","District recognized as tech leader; COVID-era device program confirmed; no specific pre-pandemic 1:1 launch year found","https://www.ravenswoodschools.org/Choose-Ravenswood/Departments/Teaching-and-Learning/Distance-Learning/Technology-and-Tech-Support/","https://secure.smore.com/bxxc1-curriculum-corner","1740","416","1","0","0636990"
"Brawley Elementary","CA","Brawley","2020 (by)","","Yes (likely)","Not specified","Chromebook","Imperial Valley district; California Bridging the Digital Divide fund context; no specific 1:1 launch year found; upper bound","https://www.besd.org/page/students","","1741","416","1","0","0605790"
"Quakertown Community SD","PA","Quakertown","2020 (by)","","Yes","K-12","Chromebook","Annual Chromebook insurance offered; 1:1 device program confirmed; district website shows 1:1/BYOD page; no specific launch year pinned","https://www.qcsd.org/Page/95","https://www.qcsd.org/page/technology-department","1742","415","1","0","4219890"
"Great Neck Union Free School District","NY","Great Neck","2017","","Yes","Not specified","iPad","1:1 iPad initiative first implemented 2017; Apple Distinguished Schools recognition; students and teachers immersed in iPad program","https://www.greatneck.k12.ny.us/administration/technology/11-ipad-program","https://blog.epson.com/education/technology-takes-off-in-long-island-classrooms/","1743","415","1","0","3612510"
"Arlington","MA","Arlington","2020","September","Yes","K-12","Chromebook","First time every student given a Chromebook (to have at home); announced September 2020; district subsequently modified approach for lower grades","https://www.northcountyoutlook.com/news/arlington-school-district-hands-out-chromebooks/article_8d9893ae-ec6e-11ea-9ebe-63e0ca133bd9.html","https://govtech.com/education/k-12/Massachusetts-School-Leans-on-Chromebooks-to-Bridge-Connectivity-Tech-Gaps.html","1744","415","1","0","2501980"
"Halifax Co Pblc Schs","VA","Halifax","2020 (by)","","Yes (likely)","Not specified","Chromebook","Sept 2020 article references Chromebook pickup drive-through events; no earlier launch year documented; COVID-era upper bound","https://www.yourgv.com/news/education/internet-and-chromebook-information-listed/article_0322fa80-ec4a-11ea-a835-6b8d758ba600.html","","1745","414","1","0","5101770"
"Edcouch-Elsa ISD","TX","Edcouch","2020 (by)","","Yes (likely)","Not specified","Chromebook","No specific 1:1 launch year found; district technology investment confirmed; COVID-era upper bound","https://www.eeisd.org/","","1746","414","1","0","4818060"
"Laurens 55","SC","Laurens","2020 (by)","","Yes (likely)","Not specified","Chromebook","COVID-era evidence; eLearning opportunities referenced for students with devices; no specific 1:1 launch year found","https://www.laurens55.org/en-US/learning-packets-resources-and-information-for-at-home-learning-during-the-school-closures-e48ec2b8","","1747","414","1","0","4502610"
"Midland Borough SD","PA","Midland","2020 (by)","","Yes (likely)","Not specified","Chromebook","Very small PA district PreK-8; Chromebook program implied; no specific launch year found; upper bound","https://www.midlandpa.org/","","1748","414","1","0","4215270"
"Oceanside Union Free School District","NY","Oceanside","2020 (by)","","Yes (likely)","Not specified","Chromebook","New York district; Chromebook program referenced; Smart Schools Bond Act plan filed with NYSED; no specific 1:1 launch year found","https://www.nysed.gov/smart-schools/oceanside-union-free-school-district-approved-plans","https://www.oceansideschools.org/","1749","414","1","0","3621570"
"Deming Public Schools","NM","Deming","2020 (by)","","Yes (likely)","Not specified","Chromebook","Technology Center page confirmed; no specific 1:1 launch year found; COVID-era upper bound","https://demingps.ss20.sharpschool.com/services/technology_center","","1750","414","1","0","3500690"
