rank	choice	district	state	city	year
2556	F (default)	Roosevelt Union Free School District	NY	Roosevelt	
2557	F (default)	Agawam	MA	Agawam	2021
2558	F (default)	Jerome Joint District	ID	Jerome	2021
2559	F (default)	Monroe County	GA	Forsyth	
2560	F (default)	Enumclaw School District	WA	Enumclaw	2020
2561	F (default)	Oxford Area SD	PA	Oxford	2023
2562	F (default)	Southwest Licking Local	OH	Pataskala	
2563	F (default)	Fort Lee Public Schools	NJ	Fort Lee	2015
2564	F (default)	Dover School District	NH	Dover	
2565	F (default)	Norfolk Public Schools	NE	Norfolk	2013
2566	F (default)	Swartz Creek Community Schools	MI	Swartz Creek	
2567	F (default)	Mt. Pleasant City School District	MI	Mount Pleasant	
2568	F (default)	Grant County	KY	Williamstown	2022
2569	F (default)	Bellwood SD 88	IL	Bellwood	2020
2570	F	Albany County School District #1	WY	Laramie	2020
2571	F (default)	Salem City Pblc Schs	VA	Salem	2016
2572	F (default)	Edgefield 01	SC	Johnston	2020
2573	F (default)	McKeesport Area SD	PA	McKeesport	2022
2574	F (default)	Olmsted Falls City	OH	Olmsted Falls	2019
2575	F (default)	Timberlane Regional School District	NH	Plaistow	
2576	F (default)	Sycamore CUSD 427	IL	Sycamore	
2577	F (default)	Burlington-Edison School District	WA	Burlington	2020
2578	F (default)	Hudson School District	NH	Hudson	
2579	F (default)	Rolla 31	MO	Rolla	
2580	F (default)	Wilmington	MA	Wilmington	2016
2581	F (default)	Weaver Union	CA	Merced	
2582	F (default)	Imperial Unified	CA	Imperial	
2583	F (default)	Hauppauge Union Free School District	NY	Hauppauge	
2584	F (default)	Wall Township Public Schools	NJ	Wall Township	
2585	F (default)	Mason City Comm School District	IA	Mason City	
2586	F (default)	Mt. Pleasant Elementary	CA	San Jose	
2587	F (default)	Toppenish School District	WA	Toppenish	2020
2588	F (default)	Plum Borough SD	PA	Plum	2019
2589	F (default)	Penn Hills SD	PA	Pittsburgh	
2590	F (default)	Dover Area SD	PA	Dover	
2591	F (default)	Edgewood City	OH	Trenton	
2592	F (default)	Maple Heights City	OH	Maple Heights	
2593	M	Transylvania County Schools	NC	Brevard	2014
2594	M	Alexandria Public School District	MN	Alexandria	2015
2595	F (default)	Lakeview Sch. District (Calhoun)	MI	Battle Creek	
2596	F (default)	Parlier Unified	CA	Parlier	
2597	F (default)	North Olmsted City	OH	North Olmsted	2020
2598	F (default)	Brecksville-Broadview Heights City	OH	Brecksville	
2599	F (default)	Harrison Central School District	NY	Harrison	2015
2600	F (default)	Cranford Public School District	NJ	Cranford	
2601	F (default)	Sartell-St. Stephen School District	MN	Sartell	
2602	F (default)	New Prague Area Schools	MN	New Prague	
2603	F (default)	Mattawan Consolidated School	MI	Mattawan	
2604	F (default)	Franklin County	GA	Carnesville	
2605	M	Oroville City Elementary	CA	Oroville	2020 (by)
2606	F (default)	Homewood City	AL	Homewood	
2607	F (default)	Kaukauna Area School District	WI	Kaukauna	
2608	F (default)	Upshur County Schools	WV	Buckhannon	
2609	F (default)	Kaufman ISD	TX	Kaufman	2020
2610	M	Lincoln County	TN	Fayetteville	2020 (by)
2611	M	Watertown School District 14-4	SD	Watertown	2003
2612	F (default)	Conewago Valley SD	PA	New Oxford	2020
2613	F (default)	Western Heights	OK	Oklahoma City	
2614	F	Avon Lake City	OH	Avon Lake	2024
2615	F (default)	Pleasantville Public School District	NJ	Pleasantville	
2616	F (default)	Platte Co. R-III	MO	Platte City	2017
2617	F (default)	Stoughton	MA	Stoughton	
2618	F (default)	Concordia Parish	LA	Vidalia	
2619	F (default)	East Noble School Corp	IN	Kendallville	2011
2620	M	Gilmer County	GA	Ellijay	2020 (by)
2621	F	Lake Tahoe Unified	CA	South Lake Tahoe	2014
2622	M	Waterford Unified	CA	Waterford	2020 (by)
2623	F (default)	Grandview School District	WA	Grandview	
2624	F (default)	Fluvanna Co Pblc Schs	VA	Palmyra	2020
2625	F (default)	Gibson Co Sp Dist	TN	Dyer	
2626	F (default)	Altus	OK	Altus	2015
2627	F (default)	Amherst Exempted Village	OH	Amherst	
2628	F (default)	Oregon City	OH	Oregon	2016
2629	F (default)	Paramus Public Schools	NJ	Paramus	
2630	F (default)	Farmington R-VII	MO	Farmington	
2631	F (default)	Guilford School District	CT	Guilford	
2632	F (default)	Martinez Unified	CA	Martinez	
2633	F (default)	King City Union	CA	King City	
2634	F (default)	Menomonee Falls School District	WI	Menomonee Falls	
2635	F (default)	Obion County	TN	Union City	
2636	F (default)	Solanco SD	PA	Quarryville	
2637	F (default)	Lower Dauphin SD	PA	Hummelstown	
2638	F (default)	Barberton City	OH	Barberton	
2639	F (default)	Pontotoc Co School Dist	MS	Pontotoc	
2640	F (default)	Reeths-Puffer Schools	MI	Muskegon	2020
2641	F (default)	North Middlesex	MA	Townsend	
2642	F (default)	Burlington	MA	Burlington	2011
2643	F (default)	Livingston Union	CA	Livingston	
2644	F (default)	Lindale ISD	TX	Lindale	
2645	F (default)	Orangeburg 04	SC	Orangeburg	
2646	F (default)	Kings Park Central School District	NY	Kings Park	
2647	F (default)	Mcdonald Co. R-I	MO	Anderson	
2648	F (default)	Sauk Rapids-Rice Public Schools	MN	Sauk Rapids	
2649	F (default)	Fremont RE-1	CO	Canon City	2018
2650	F (default)	Cottonwood-Oak Creek Elementary District	AZ	Cottonwood	
2651	F (default)	Waunakee Community School District	WI	Waunakee	2018
2652	F (default)	Kiski Area SD	PA	Vandergrift	2016
2653	F (default)	Mad River Local	OH	Dayton	
2654	F (default)	Carthage Central School District	NY	Carthage	
2655	F (default)	Eastport-South Manor CSD	NY	Manorville	
2656	F (default)	Matawan-Aberdeen Regional School District	NJ	Aberdeen	
2657	F (default)	West Springfield	MA	West Springfield	
2658	F (default)	RSU 23	ME	Old Orchard Beach	
2659	F (default)	New Castle Community Sch Corp	IN	New Castle	
2660	F (default)	School City of Hobart	IN	Hobart	
2661	F (default)	Mannheim SD 83	IL	Franklin Park	
2662	F (default)	Nicholas County Schools	WV	Summersville	
2663	F (default)	Calallen ISD	TX	Corpus Christi	
2664	F (default)	Dyer County	TN	Dyersburg	
2665	F (default)	Moon Area SD	PA	Moon Township	
2666	F (default)	Westlake City	OH	Westlake	
2667	F (default)	Hamburg Central School District	NY	Hamburg	
2668	F (default)	St. James Parish	LA	Lutcher	
2669	F (default)	Anderson County	KY	Lawrenceburg	
2670	F (default)	Seaman	KS	Topeka	
2671	F (default)	Anderson 02	SC	Honea Path	
2672	F (default)	Springfield SD	PA	Springfield	2020
2673	F (default)	South Euclid-Lyndhurst City	OH	Lyndhurst	2020 (by)
2674	F (default)	Brookhaven-Comsewogue UFSD	NY	Port Jefferson Station	
2675	F (default)	Columbia Heights Public School Dist	MN	Columbia Heights	
2676	F (default)	Dixon Unified	CA	Dixon	
2677	F (default)	Scott Co Pblc Schs	VA	Gate City	
2678	F (default)	El Campo ISD	TX	El Campo	
2679	F (default)	Macon County	TN	Lafayette	
2680	F (default)	Shawnee	OK	Shawnee	
2681	F (default)	So Sioux City Community Schs	NE	South Sioux City	
2682	F (default)	Niles Community Schools	MI	Niles	
2683	M	Greenville Public Schools	MI	Greenville	2020 (by)
2684	F (default)	Urbandale Comm School District	IA	Urbandale	
2685	F (default)	McFarland Unified	CA	McFarland	2016
2686	F (default)	Lincoln County Schools	WV	Hamlin	2019
2687	F (default)	Somerset ISD	TX	Somerset	2020
2688	F (default)	Paris ISD	TX	Paris	
2689	F (default)	Teays Valley Local	OH	Ashville	
2690	F (default)	Fulton City School District	NY	Fulton	2015
2691	F (default)	West Milford Township Public Schools	NJ	West Milford	
2692	F (default)	Washington Township	NJ	Sewell	
2693	F (default)	Nutley Public School District	NJ	Nutley	2017
2694	F (default)	Fitzgerald Public Schools	MI	Warren	
2695	F (default)	Bourbonnais SD 53	IL	Bourbonnais	2020
2696	F (default)	Albany City Unified	CA	Albany	
2697	F (default)	De Pere School District	WI	De Pere	
2698	F (default)	Bay City ISD	TX	Bay City	2020
2699	F (default)	Canal Winchester Local	OH	Canal Winchester	
2700	F (default)	Zanesville City	OH	Zanesville	
2701	F (default)	Artesia Public Schools	NM	Artesia	
2702	F (default)	Teaneck Public School	NJ	Teaneck	2020 (by)
2703	F (default)	Hastings Public Schools	NE	Hastings	2014
2704	F (default)	Clarksdale Municipal School Dist	MS	Clarksdale	2020 (by)
2705	F (default)	Lowell Area Schools	MI	Lowell	2020 (by)
2706	F	Melrose	MA	Melrose	2019
2707	F (default)	Clinton Comm School District	IA	Clinton	2020 (by)
2708	F (default)	Lake Pend Oreille District	ID	Ponderay	2015 (by)
2709	F (default)	Wethersfield School District	CT	Wethersfield	2020 (by)
2710	F (default)	Germantown School District	WI	Germantown	2020 (by)
2711	F (default)	Herricks Union Free School District	NY	New Hyde Park	2020 (by)
2712	F	Hopewell Valley Regional School District	NJ	Pennington	2016
2713	F (default)	Grand Rapids Public School District	MN	Grand Rapids	2020 (by)
2714	F (default)	Byron Center Public Schools	MI	Byron Center	2020 (by)
2715	F (default)	West Baton Rouge Parish	LA	Port Allen	2020 (by)
2716	F (default)	Jacksonville SD 117	IL	Jacksonville	2020 (by)
2717	M	Butts County	GA	Jackson	2020 (by)
2718	F	Holmen School District	WI	Holmen	2015
2719	F (default)	Shelton School District	WA	Shelton	2020 (by)
2720	M	Floresville ISD	TX	Floresville	2020
2721	F (default)	Sapulpa	OK	Sapulpa	2016 (by)
2722	F (default)	Columbus Public Schools	NE	Columbus	2020 (by)
2723	F (default)	Alcorn School Dist	MS	Corinth	2020 (by)
2724	F (default)	Allen Park Public Schools	MI	Allen Park	2020 (by)
2725	F (default)	Clay County	KY	Manchester	2020 (by)
2726	F (default)	Weld County School District No. RE-5J	CO	Milliken	2020 (by)
2727	M	Eureka City Schools	CA	Eureka	2020 (by)
2728	F (default)	Greenwood School District	AR	Greenwood	2020 (by)
2729	F (default)	Brownwood ISD	TX	Brownwood	2020 (by)
2730	F (default)	Daniel Boone Area SD	PA	Birdsboro	2020 (by)
2731	F (default)	Franklin Square Union Free School District	NY	Franklin Square	2020 (by)
2732	F (default)	Neptune Township School District	NJ	Neptune Township	2016
2733	F (default)	Danvers	MA	Danvers	2015 (by)
2734	F	Bangor Public Schools	ME	Bangor	2002
2735	F (default)	Frankfort CCSD 157C	IL	Frankfort	2020 (by)
2736	F (default)	Kettle Moraine School District	WI	Wales	2016 (by)
2737	M	Page Co Pblc Schs	VA	Luray	2020 (by)
2738	F (default)	Tuloso-Midway ISD	TX	Corpus Christi	
2739	F (default)	Twin Valley SD	PA	Elverson	2020 (by)
2740	F (default)	Mechanicsburg Area SD	PA	Mechanicsburg	2020 (by)
2741	F (default)	Piqua City	OH	Piqua	2020 (by)
2742	F (default)	Katonah-Lewisboro Union Free School District	NY	Cross River	2020 (by)
2743	F (default)	Carteret Public Schools	NJ	Carteret	2020 (by)
2744	F (default)	Hannibal 60	MO	Hannibal	2020 (by)
2745	F (default)	Lebanon Community School Corp	IN	Lebanon	2020 (by)
2746	F (default)	Zion ESD 6	IL	Zion	2020 (by)
2747	F (default)	Libertyville SD 70	IL	Libertyville	2020 (by)
2748	F (default)	Pierce County	GA	Blackshear	2020 (by)
2749	F (default)	Palo Verde Unified	CA	Blythe	2020 (by)
2750	F (default)	Greene Co. Tech School Dist.	AR	Paragould	2020 (by)
2751	F (default)	Monroe County	AL	Monroeville	2020 (by)
2752	F (default)	Marshfield Unified School District	WI	Marshfield	2016
2753	F (default)	Burlington School District	VT	Burlington	2020 (by)
2754	F (default)	Hardin County	TN	Savannah	2020 (by)
2755	F (default)	Nordonia Hills City	OH	Northfield	2017
2756	F (default)	Warwick Valley Central School District	NY	Warwick	2020 (by)
2757	F	Canandaigua City School District	NY	Canandaigua	2017
2758	F (default)	Township of Ocean Schools	NJ	Oakhurst	2020 (by)
2759	F (default)	Gretna Public Schools	NE	Gretna	2020 (by)
2760	F (default)	Sikeston R-6	MO	Sikeston	2020 (by)
2761	M	Calhoun City	GA	Calhoun	2020 (by)
2762	F	Avon School District	CT	Avon	2024
2763	F (default)	Port Angeles School District	WA	Port Angeles	2020 (by)
2764	F (default)	Bainbridge Island School District	WA	Bainbridge Island	2020 (by)
2765	F (default)	Albert Gallatin Area SD	PA	Uniontown	2020 (by)
2766	F (default)	Mayfield City	OH	Mayfield Heights	2017
2767	F (default)	Garfield Heights City Schools	OH	Garfield Heights	2020 (by)
2768	M	East Cleveland City School District	OH	East Cleveland	2020
2769	F (default)	Cherokee County Schools	NC	Murphy	2015
2770	F (default)	Hyde Park Central School District	NY	Hyde Park	2020 (by)
2771	F (default)	Big Lake Public School District	MN	Big Lake	2020
2772	F (default)	Harper Woods The School District of the City of	MI	Harper Woods	2020 (by)
2773	F (default)	Gibraltar School District	MI	Woodhaven	2020 (by)
2774	F (default)	Middleborough	MA	Middleborough	2020 (by)
2775	F (default)	Hart County	GA	Hartwell	2020 (by)
2776	F (default)	Buford City	GA	Buford	2020
2777	F (default)	Marion County	AL	Hamilton	2020 (by)
2778	F (default)	Menasha Joint School District	WI	Menasha	2020 (by)
2779	M	Stephenville ISD	TX	Stephenville	2016
2780	F (default)	Hickman County	TN	Centerville	2020 (by)
2781	F (default)	West Warwick	RI	West Warwick	2014
2782	F (default)	Rose Tree Media SD	PA	Media	2020 (by)
2783	F (default)	Derry Township SD	PA	Hershey	2020
2784	F (default)	Amsterdam City School District	NY	Amsterdam	2020 (by)
2785	F (default)	Tenafly Public Schools	NJ	Tenafly	2020 (by)
2786	F (default)	Picayune School Dist	MS	Picayune	2020
2787	F (default)	Auburn Public Schools	ME	Auburn	2011
2788	F (default)	Plymouth Community School Corp	IN	Plymouth	2020 (by)
2789	F (default)	Blaine County District	ID	Hailey	2020 (by)
2790	F (default)	Haralson County	GA	Tallapoosa	2024
2791	F (default)	Orinda Union Elementary	CA	Orinda	2020 (by)
2792	M	Lovejoy ISD	TX	Lucas	2020 (by)
2793	F (default)	Overton County	TN	Livingston	2020 (by)
2794	F	Radnor Township SD	PA	Wayne	2011
2795	F (default)	Spencerport Central School District	NY	Spencerport	2026 (by)
2796	F (default)	Rockville Centre Union Free School District	NY	Rockville Centre	2020 (by)
2797	F (default)	North Tonawanda City School District	NY	North Tonawanda	2020 (by)
2798	M	Sparta Township Public Schools	NJ	Sparta	2020 (by)
2799	F (default)	East Moline SD 37	IL	East Moline	2020 (by)
2800	F (default)	Tattnall County	GA	Reidsville	2020 (by)
