"district_name","state","city","year_started","month_started","one_to_one","grade_levels","device_type","notes","source_url","source_2","seda_rank","seda_row_count","web_search","fb_search","leaid"
"Duval County Public Schools","FL","Jacksonville","2020","March","Yes (post-COVID)","Not specified","Laptop","Pre-COVID NOT 1:1 - had to pull tech from classrooms; March 2020 emergency laptop checkout at 10 locations; 2022 $22M for 43K laptops + 10K hotspots via AT&T","https://www.firstcoastnews.com/article/news/health/coronavirus/duval-county-public-schools-rolls-out-new-plan-to-expand-laptop-distribution-for-those-in-need/77-45a82a79-4a22-4f72-9078-7bacb44e9bda","https://www.news4jax.com/news/local/2022/04/08/deadline-approaches-for-duval-county-students-in-need-to-apply-for-free-laptop-hot-spot/","19","1722","1","0","1200480"
"Detroit Public Schools Community District","MI","Detroit","2020","April","Yes","K-12","Mixed (tablets + laptops)","Connected Futures Project announced April 2020 - $23M for ~50K wireless tablets + laptops + internet access to all ~51K students; later Student Technology Initiative pilot HS Fall 2022 deployment Jan 2023","https://www.clickondetroit.com/news/local/2020/04/23/watch-live-officials-announce-plan-to-bridge-digital-divide-for-51000-detroit-students/","https://www.detroitk12.org/Page/10871","20","1701","1","0","2612000"
"Albuquerque Public Schools","NM","Albuquerque","2020 (by)","April","Yes","Initial: HS freshmen/sophomores; expanded","Mixed (Chromebook + iPad)","COVID-era distribution; April 2020 freshmen/sophomores got Chromebooks; broader 1:1 launched during pandemic; Dell Chromebooks district standard","https://www.krqe.com/news/education/aps-continues-chromebook-distribution-for-freshmen-sophomores/","https://www.aps.edu/schools/covid-updates-for-2021-2022/images/dell-chromebook/view","21","1696","1","0","3500060"
"Charlotte-Mecklenburg Schools","NC","Charlotte","2014","November","Yes (phased)","MS 2014-15 (30K Chromebooks); HS take-home 2018; K-5 stays at school","Chromebook","2014-15 SY: 30K Chromebooks deployed for MS students at $220 each; $1.6M Race to the Top funding; HS take-home 1:1 launched Fall 2018; K-5 keeps Chromebooks at school","https://www.k12dive.com/news/nc-district-deploys-30k-chromebooks-in-middle-schools/364872/","https://www.cmsk12.org/technology-services/technology-support-15441/device-fee-structure","22","1682","1","0","3702970"
"Prince George's County Public Schools","MD","Upper Marlboro","2012","","Yes (initial 4 schools; district-wide 2014)","Initial: 4 Title I middle schools (2012, 3K iPads); district-wide 2014","Mixed (iPad initial then Chromebook)","2012: 3K iPads to 4 Title I middle schools (1:1 model in those schools); district-wide Chromebook 1:1 by 2014; further COVID-era expansion April 2020","https://www.peardeck.com/pear-deck-blog/pgcps-case-study","https://www.wusa9.com/article/news/local/maryland/pgcps-chromebook-distribution-begins-internet-access-also-provided/65-d0654f53-b6c4-4f02-8692-02c911acb578","23","1672","1","0","2400510"
"Montgomery County Public Schools","MD","Rockville","2014","August","Yes (phased classroom-only initially)","Initial: gr3/5/6 + HS Social Studies; K-2 Android tablets by 2017-18","Mixed (Chromebook + Android tablet)","Aug 2014: 40K laptops/tablets initial rollout; Chromebooks to grades 3/5/6 and HS social studies; 100K devices by 2017-18 plan; classroom-only initially - take-home expanded during COVID","https://www.washingtonpost.com/local/education/montgomery-announces-school-technology-initiative-with-40000-laptops-and-tablets/2014/07/10/3060e1ec-0835-11e4-8a6a-19355c7e870a_story.html","https://www.edweek.org/technology/maryland-district-approves-big-chromebook-adoption/2014/07","24","1650","1","0","2400480"
"Milwaukee Public Schools","WI","Milwaukee","2020","April","Yes","K-12","Chromebook","COVID-era April 2020 distribution: HS Apr 16-17 then MS Apr 20 then ES Apr 22-24; each student got 2 Chromebooks (one home one school); 5 MS got free Verizon hotspots","https://www.tmj4.com/news/coronavirus/milwaukee-public-schools-distribute-chromebook-laptops-to-students-amid-closures","https://www.tmj4.com/news/local-news/mps-teams-up-with-verizon-to-provide-new-chromebooks-free-internet-access-to-students","25","1617","1","0","5509600"
"Denver Public Schools","CO","Denver","2017","Fall","Yes (phased)","MyTech 2017-18: 13 schools; 2020 bond expanded to all MS+HS; K-5 added during COVID","Chromebook","DSST first 1:1 HS in CO via HP grant; $10M MyTech bond launched 2017-18 SY across 13 schools; Nov 2020 bond expanded to all middle/high; K-5 added with hand-me-downs during COVID; ~78K total devices ~$18.3M since 2021","https://www.dpsk12.org/chromebook-surprise/","https://coloradosun.com/2023/05/26/colorado-schools-chromebooks-churn-outdated/","26","1558","1","0","0803360"
"Baltimore City Public Schools","MD","Baltimore","2020","April","Yes","K-12","Chromebook","Pre-2020: ~13K Chromebooks already distributed (Verizon partnership pre-pandemic ~1,300 to select schools); April 2020 emergency purchase of 12K Chromebooks + 14K chargers during COVID; all students now district-issued Chromebook","https://baltimorebrew.com/2020/04/30/city-schools-purchases-12000-chromebooks-and-14000-chargers/","https://www.cbsnews.com/baltimore/news/verizon-innovative-learning-initiative-baltimore-city-schools-chromebooks-latest/","27","1494","1","0","2400090"
"Columbus City Schools","OH","Columbus","2020","Spring","Yes","K-12","Chromebook","Spring 2020 COVID-era distribution; ~20K Chromebooks + 1K hotspots by June 2020 via $7M CARES Act funding; another 20K shipped for Fall 2020; ~52K total to provide laptop for every student; K-8 not permitted to take home initially","https://abc6onyourside.com/news/local/ccs-provides-laptops-to-students-fall-2020","https://www.asumag.com/covid-19/article/21137708/columbus-ohio-gives-school-district-7-million-for-laptop-computers","28","1477","1","0","3904380"
"Jefferson County Public Schools R-1","CO","Golden","2019","August","Yes (phased)","TechforEd Phase 1: gr5/9 at 54 schools (Aug 2019); Phase 2: 50 more schools (Nov 2019); remaining 15 schools (Jan 2020); now gr1-12","Mixed (Chromebook + iPad)","Jeffco TechforEd 4-year plan launched Aug 2019 with gr5 + gr9 at 54 neighborhood/option schools; new devices given at grades 1/5/9; full gr1-12 by 2023; touchscreen Chromebooks + iPads","https://jeffcopen.com/jeffco-launches-techfored-program/","https://www.jeffcopublicschools.org/services/technology/tech-for-ed","29","1459","1","0","0804800"
"Jefferson County Public Schools","KY","Louisville","2017","Fall","Yes (phased)","Glasgow MHS pilot 2017-18; district-wide rolling deploy 2018-2023; major 2020-21 expansion to ~50K students","Chromebook","Glasgow Middle High School pilot 2017-18; 2018-2023 rolling teacher/student deployment; spring 2020 ~20K Chromebooks distributed (COVID); 30K more for 2020-21 SY; total ~50K by 2020-21","https://spectrumnews1.com/ky/louisville/news/2020/08/05/jcps-chromebook-rollout","https://www.wdrb.com/in-depth/jcps-buying-chromebooks-with-built-in-cellular-service-to-boost-access-for-students/article_4c388c80-02f5-11ed-9d33-7f9f92cecae4.html","30","1414","1","0","2102990"
"Gwinnett County Public Schools","GA","Lawrenceville","2012","Fall","Yes (phased)","BYOD pilot 14 schools 2012; full district 1:1 by 2020","Mixed (BYOD initial; Chromebook district-wide)","Fall 2012 BYOD pilot at 14 schools across 5 clusters as part of eCLASS digital-content initiative; district-wide Chromebook 1:1 expanded Aug 2020 (~50K Chromebooks distributed COVID-era); now ~205K Chromebooks in circulation; gr3-12 take-home, K-2 in-classroom","https://patch.com/georgia/lawrenceville-ga/eclass-in-session-at-lawrenceville-gwinnett-schools","https://gwinnettmagazine.com/byod-bring-your-own-device-what-does-it-mean/","31","12707","1","0","1302550"
"Cobb County School District","GA","Marietta","2020","August","Yes (phased)","HS first 2020-21 SY; MS added 2022; ES based on need","Mixed (Dell Latitude 3190)","Aug 2020 emergency 2,600 Chromebooks ($800K) plus 750 from churches via Stratix to address virtual learning; 'Learn Everywhere' Dell Latitude 3190 1:1 launched 2020-21 SY for HS; ~15K HS laptops by Jan 2022; expanded to MS in 2022; opt-in via ParentVue","http://eastcobbnews.com/cobb-school-district-receives-computer-devices-for-virtual-learning/","https://www.cobbk12.org/lassiter/_ci/p/54740","32","8326","1","0","1301290"
"Cypress-Fairbanks ISD","TX","Cypress","2020","August","Yes","K-12","Chromebook","$44M LTE 1:1 'Learning Together Everywhere' program board-approved July 2020; distribution Aug 2020; all HS + CFISD Connect students by end of 1st semester 2020-21; full district by spring 2021 (supply-chain delays slowed elementary)","https://www.khou.com/article/news/education/cypress-fairbanks-isd-laptops-wifi-program-remote-learning/285-06f5775a-c051-46ae-93bd-1cba93b644b6","https://communityimpact.com/houston/cy-fair/education/2021/01/29/heres-how-far-along-cy-fair-isd-is-in-the-chromebook-distribution-process/","33","8244","1","0","4816110"
"Polk County Public Schools","FL","Bartow","2022","Fall","Yes","K-12","Mixed (iPad ES + laptop MS/HS)","One-to-One Digital Learning Initiative announced 2022 for fall 2022 SY; ~110K students (FL 7th-largest district); iPads for elementary, laptops for middle/high; funded by ESSER + Emergency Connectivity Fund (ECF)","https://polkschoolsfl.com/newsrelease/pcps-providing-devices-to-all-students-through-one-to-one-digital-learning-initiative/","https://www.fox13news.com/news/polk-county-public-schools-providing-laptops-ipads-to-every-student-this-year","34","7989","1","0","1201590"
"DeKalb County School District","GA","Stone Mountain","2017","June","Yes (phased)","Phase 1: ES (June 2017); MS+HS subsequent; full Pre-K-12 by 2025-26","Chromebook","'Digital Dreamers' initiative; first 25,000+ Chromebooks ordered for elementary schools beginning June 19 2017; 2-year district rollout plan; 2025 Stratix contract to manage 110,000+ Chromebook deployment district-wide; PreK-12 1:1 confirmed for 2025-26","http://factchecker.stanjester.com/2017/08/7369/","https://www.mdjonline.com/neighbor_newspapers/dekalb-county-students-to-receive-chromebooks-hotspots-this-fall/article_bf44f944-81fd-11e7-bda5-cfa6b99d7a4e.html","35","7918","1","0","1301740"
"Baltimore County Public Schools","MD","Towson","2014","Fall","Yes (phased)","Initial 2014: K-5 + 10 Lighthouse Schools; full 1-12 by 2017-18","Mixed (HP EliteBook 810 Revolve initial; Chromebook ES from 2018)","$147M STAT (Students & Teachers Accessing Tomorrow) initiative; 150K Windows 8.1 devices over 4 years starting Fall 2014; HP EliteBook 810 Revolve initial; switched to Chromebooks in elementary May 2018 for cost; scaled back take-home for ES/MS in 2025-26","https://blogs.microsoft.com/blog/2014/05/02/baltimore-county-public-schools-choose-150000-windows-devices-to-transform-teaching-and-learning/","https://thejournal.com/articles/2014/05/05/baltimore-county-public-schools-to-rollout-150000-windows-8-devices-over-four-years.aspx","36","7835","1","0","2400120"
"Pinellas County Schools","FL","Largo","2019","","Yes (phased)","Initial: gr3-4 at 36 low-income schools (2019); full gr3-10 1:1 by 2022-23","Mixed (laptop / Dell laptop)","$4M digital-divide initiative 2019: ~4,000 laptops to gr3-4 at 36 low-income schools; COVID expansion 2020 added 42K laptops; PCS Connects full 1:1 gr3-10 by 2022-23 SY (Dell laptops); K-2 and 11-12 still classroom-only","https://www.tampabay.com/news/education/pinellas-students-get-laptops-to-curb-the-digital-divide/2150648/","https://www.tampabay.com/news/health/2020/06/23/pinellas-schools-to-get-42000-laptops-for-students-to-take-home/","37","7826","1","0","1201560"
"Northside Independent School District","TX","San Antonio","2020 (by)","","Yes","K-12","Mixed (Chromebook + laptop + tablet)","Pre-COVID device shortages; COVID-era 2020 distribution funded with local + federal stimulus; ~107K students; achieved 1:1 by end of 2020-21 SY; some parents had to self-fund early in pandemic; Northside Technology Lending Program is opt-out","https://sanantonioreport.org/google-classroom-and-chromebooks-san-antonio-school-districts-ready-distance-learning-plans/","https://www.nisd.net/help/device-lending","38","7608","1","0","4833120"
"Austin Independent School District","TX","Austin","2017","Fall","Yes (phased)","Initial Fall 2017: HS; Fall 2019: 8th grade; Spring 2020: all students","Chromebook","Everyone:1 initiative launched Fall 2017 with HS students assigned 2-in-1 Chromebooks; expanded to 8th grade Fall 2019; all students K-12 received devices Spring 2020 (COVID expansion); Pre-K-2 in-class; 3-12 take-home","https://www.austinisd.org/sites/default/files/dept/technology/docs/everyone1/Everyone-1_AISD_English_final_080819.pdf","https://www.austinisd.org/technology/student-devices","39","7285","1","0","4808940"
"Fort Worth Independent School District","TX","Fort Worth","2020 (by)","April","Yes (phased)","6-12 had access pre-COVID; ES added April 2020","Chromebook","All gr6-12 had access to district-issued Chromebooks pre-pandemic; April 2020 emergency board approval $1.19M for 3,160 additional Chromebooks for ES + $1.3M for 6K hotspots ('Learning at Home' initiative); Fall 2020 4 hr/day online learning required","https://www.cbsnews.com/texas/news/fwisd-purchase-thousands-computers-hotspots-student-learning-home-coronavirus-outbreak/","https://www.cbsnews.com/texas/news/fort-worth-isd-digital-access-thousands-chromebooks-distributed/","40","7044","1","0","4819700"
"Fulton County Schools","GA","Atlanta","2015","January","Yes (phased)","Phased Jan 2015 - Sep 2017 across ~100 schools; gr3-12","Mixed (iPad / Surface / Dell Latitude / Chromebook)","$28.3M iSchool initiative implementation Jan 2015 - Sep 2017; 17,500 devices across 23 schools by 2016; multiple device options (iPad, Microsoft Surface, Dell Latitude, Dell Chromebook) per school personalized-learning plan; gr3-12 currently issued","https://www.ajc.com/news/local-education/fulton-schools-rolling-out-tech-devices-students/loQwHmdi6ojtISP0kN0qWK/","https://www.theodysseyonline.com/ischool-initiative-fulton-county-schools","41","7029","1","0","1302280"
"School District of Lee County","FL","Fort Myers","2020","March","Yes","K-12","Chromebook","COVID-era March 2020 emergency distribution: gr3-5 first then K-2 week of Mar 23; ~$500K initial; 2,000 additional Chromebooks ordered to meet demand; IDE Corp workshop designed for district 1:1 rollout post-pandemic","https://www.winknews.com/news/lee/lee-county-schools-to-distribute-chromebooks-to-students-who-need-them/article_3482c185-0d0a-57b3-92a8-24bfd4238257.html","https://sites.google.com/a/idecorp.com/lee-county-1-to-1-chromebook-rollout/","42","6606","1","0","1201080"
"Metro Nashville Public Schools","TN","Nashville","2020","June","Yes","K-12","Laptop","~$24M federal CARES Act funding announced June 2020 by Mayor Cooper for laptops + internet for ~81K MNPS students; 60K+ laptops distributed (only 124 stolen); supplementary Tech Goes Home program with NPEF for digital literacy training plus free Chromebook; gr3-12 take-home","https://tennesseelookout.com/2020/06/23/metro-nashville-schools-laptops-wont-be-ready-for-all-students-when-school-starts/","https://nashvillepef.org/tech-goes-home/","43","6466","1","0","4703180"
"Prince William County Public Schools","VA","Manassas","2020","March","Yes (phased)","Pre-2020 plan: HS first then gr3-12; COVID expansion full","Laptop","Pre-COVID: $16M 4-year Digital Equity plan to provide devices for gr3-12 with HS first; March 2020 emergency order of 15,500 laptops; HS by Sept-Nov 2020; current student device handbook covers all gr3-12","https://www.insidenova.com/news/education/prince_william/prince-william-schools-order-15-500-laptops-in-rush-toward-online-instruction/article_14835d7c-74c9-11ea-b74b-77c1fd028af2.html","https://www.pwcs.edu/departments/instructional_technology/device_handbook/index","44","6429","1","0","5103130"
"Long Beach Unified School District","CA","Long Beach","2020","March","Yes","K-12","Chromebook","COVID-era March 25 2020 distribution start at multiple schools (incl Jordan HS); 70K+ student rollout for in-home internet + Chromebooks during 5-week shutdown; ongoing partnership with human-I-T for low-cost devices/internet; recent Chromebook refresh via Golden Star Technology","https://lbpost.com/news/education/lbusd-to-offer-kids-access-to-chromebooks-home-internet","https://gstinc.com/long-beach-usd-chromebook-refresh/","45","6336","1","0","0622500"
"Alpine School District","UT","American Fork","2015","Fall","Yes (phased)","Pilot 2015: 3 schools (incl Pleasant Grove JH; English depts initial); secondary expansion 2020+","Chromebook","2015 Next Generation 1:1 pilot at 3 schools (Pleasant Grove JH first via English dept) with 900 Dell Chromebooks plus Wi-Fi upgrade; district inventory grew from ~15K Chromebooks (2014) to 67K (2020); secondary student 1:1 take-home approved 2020","https://alpineschools.org/one-to-one/","https://www.sltrib.com/news/education/2015/12/07/digital-devices-for-every-utah-student-districts-launch-technology-initiatives/","46","6175","1","0","4900030"
"Fresno Unified School District","CA","Fresno","2015","","Yes (phased; full by 2020)","BYOD/issued: secondary first 2015; full K-12 by 2020 COVID","Mixed (Asus T100 BYOD initial; Chromebook district-issued)","2015 Asus supplied 15K Asus Transformer T100 Windows 8.1 BYOD devices; 2020 COVID-era full 1:1 to 74K students; Nov 2025 - June 2026 elementary returning laptops (in-class only) due to ~30% damage/loss rate ($4M/yr); MS+HS retain take-home","https://infotechlead.com/mobility/asus-transformer-t100-windows8-1-devices-support-byod-fresno-unified-school-district-21378","https://edsource.org/2026/fresno-unified-elementary-students-must-return-laptops-as-district-shifts-focus-to-in-class-use/751213","47","6082","1","0","0614550"
"Granite School District","UT","Salt Lake City","2020","Spring","Yes","K-5 in-class; 6-12 take-home","Chromebook","COVID-era Spring 2020 emergency distribution; WiFi buses launched April 2020; current K-5 in-class only and secondary (6-12) take-home; 1:1 confirmed; iBoss content filter on home networks; Jan 2026 board reviewing program effectiveness (avg 71 min/day on Chromebook)","https://kslnewsradio.com/1923444/granite-school-district-buses-wifi/","https://www.graniteschools.org/edtech/chromebooks/","48","5935","1","0","4900360"
"Mesa Public Schools","AZ","Mesa","2020 (by)","December","Yes (phased)","Phased to all sites by Dec 2020","Mixed (Windows + iPad + Chromebook)","63K+ Windows student devices pre-2020; planned 1:1 at all sites by December 2020; June 2020 ~9K laptops purchased for K-6; mix of iPads, Chromebooks, Windows + Android tablets; ~7K families had no internet/devices identified in 2020 survey","https://www.mpsaz.org/edtech/resources/chromebook/","https://en.wikipedia.org/wiki/Mesa_Public_Schools","49","5932","1","0","0404970"
"Davis School District","UT","Farmington","2020 (by)","","Yes (phased)","K-2 in-class carts; 3-12 individual access","Chromebook","COVID-era 2020 emergency distribution; current 1:1 with K-2 in-class (carts) and individual access gr3-12; specific launch year of 1:1 not pinned in public sources; remote-learning device support page exists","https://www.davis.k12.ut.us/o/dsd/page/devices-support-for-remote-learning","https://www.davis.k12.ut.us/page/technology-services","50","5839","1","0","4900210"
"Anne Arundel County Public Schools","MD","Annapolis","2020","Spring","Yes (initially gr3-12)","Initial gr3-12 take-home (2020); 2024-25 reverted to in-school for PreK-8","Chromebook","COVID-era 2020 take-home Chromebooks gr3-12 introduced; 2024-25 SY scaled back: PreK-8 in-school only; gr9-12 keep Chromebooks; Jan 2026 gr10-11 receiving HP Elitebook 6 devices; loaner program available","https://www.baltimoresun.com/2024/02/16/chromebook-distribution-aacps/","https://www.aacps.org/page/student-devices","51","5742","1","0","2400060"
