"Marple Newtown SD","PA","Newtown Square","","","Yes (likely)","","Chromebook","district website references Chromebook use for DRC testing; no specific 1:1 program details or year found","https://www.mnsd.org/departments/technology/accessing-the-drc-client-from-a-chromebook","https://www.mnsd.org/departments/technology","3191","232","1","0","4214760"
"Tiffin City","OH","Tiffin","","","Yes (likely)","","","Tiffin City Schools website found; no specific 1:1 device program details or year found","https://www.tiffincityschools.org/","","3192","232","1","0","3904489"
"Franklin City","OH","Franklin","","","Yes (likely)","","","Franklin City Schools website found; FCPS Chromebooks referenced; no firm 1:1 launch year found","https://www.franklincityschools.com/","","3193","232","1","0","3904400"
"Mandan 1","ND","Mandan","2016","","Yes (phased)","9-12 then expanding","iPad","2011-12 iPad pilot in 3 science classes only (not 1:1); 2016 full 1:1 at high school (~1000 devices); middle school following; Ignite 2020 plan","https://bismarcktribune.com/news/local/education/mandan-moves-to-put-more-ipads-in-classrooms/article_6d7a3ee0-6708-5aaa-a121-d443973b93da.html","https://bismarcktribune.com/news/local/article_bba176b6-6ace-11e0-997a-001cc4c002e0.html","3194","232","1","0","3811820"
"Wallkill Central School District","NY","Wallkill","2016","","Yes (phased)","elementary then expanding","Chromebook","Smart Schools Investment Plan approved May 2016 for 1:1 student devices (Chromebooks/tablets) for elementary; SSIP 2025 shows continued expansion","https://www.nysed.gov/sites/default/files/programs/smart-schools/wallkill-csd-ssip-07-05-16.pdf","https://www.wallkillcsd.k12.ny.us/departments/technology-services/technology-services-documents/elementary-one-to-one-initiative/elementary-chromebook-user-and-procedure-guide","3195","232","1","0","3629790"
"East Irondequoit Central School District","NY","Rochester","","","Yes","K-12","Mixed (iPad K-8; laptop 9-12)","K-8 iPads; 9-12 laptops; take-home from grade 3+; 4-year replacement cycle; 2017 article references established program with $82.20/pupil/year avg cost","https://www.nyssba.org/news/2017/06/29/on-board-online-july-3-2017/east-irondequoit-sees-technology-as-key-to-improving-educational-outcomes/","https://www.eastiron.org/page/student-device-info-and-technology-help","3196","232","1","0","3609690"
"Swedesboro-Woolwich Board of Education","NJ","Swedesboro","","","Yes (likely)","1-6","Chromebook","district has 1:1 Chromebook initiative for grades 1-6 (K-6 district); no specific launch year found","https://www.swedesboro-woolwich.com/","","3197","232","1","0","3415990"
"Lake Shore Public Schools (Macomb)","MI","St. Clair Shores","","","Yes","K-12","Chromebook","confirmed 1:1 Chromebook district K-12; every student receives Chromebook + Google G-Suite; no firm launch year found","https://www.lakeshoreschools.org/departments/technology","","3198","232","1","0","2632670"
"Lakeview Public Schools (Macomb)","MI","St. Clair Shores","","","Yes (phased)","K-12","Chromebook","K-4 school-only Chromebook; 5-12 take-home with $60/yr fee; confirmed 1:1 district; no firm launch year found","https://www.lakeviewpublicschools.org/apps/pages/index.jsp?uREC_ID=935550&type=d&pREC_ID=1267791","","3199","232","1","0","2620880"
"Dighton-Rehoboth","MA","North Dighton","","","Yes (likely)","","","Dighton-Rehoboth Regional SD website found; no specific 1:1 device program details or year found","https://www.drregional.org/","","3200","232","1","0","2504200"
